id;name;type;age;position;function;representation;;
TH;Thomas Hitzlsberger;0;1982;Vorsitz;Vst;Sport;;
OS;Oliver Schraft;0;1967;Mitglied Geschaeftsleitung;Vst;Kommunikation;;
CV;Claus Vogt;0;1969;Vorsitz Aufsichtsrat;AR;Politik;;
WP;Wilfried Porth;0;1959;Stellvertreter Vorsitz Aufsichtsrat;AR;Politik;;
RA;Rainer Adrion;0;1953;Mitglied Praesidium;AR;Politik;;
HJ;Hartmund Jenner;0;1965;Mitglied Aufsichtsrat;AR;Politik;;
FR;Franz Rainer;0;1967;Mitglied Aufsichtsrat;AR;Finanzen;;
BS;Bertram Sugg;0;1966;Mitglied Aufsichtsrat;AR;Politik;;
V;VfB;1;1893;NA;NA;NA;;
KC;Kommission Clubmedien DFL;1;2000;NA;NA;NA;;
I;Intesia Group Holding GmbH;1;2010;NA;NA;NA;;
P;FC Playfair;1;2017;NA;NA;NA;;
DA;Daimler AG;1;1998;NA;NA;NA;;
AKF;Alfred-Kaercher-Foerderstiftung;1;1935;NA;NA;NA;;
AKG;Alfred-Kaercher-GmbH;1;1935;NA;NA;NA;;
RB;Robert Bosch GmbH;1;1886;NA;NA;NA;;
FCG;Fanclub Courage Gerlingen;1;2007;NA;NA;NA;;
DFB;Deutscher Fußball Bund;1;1900;NA;NA;NA;;
BMH;Bundesstiftung Magnus Hirschfeld;1;2011;NA;NA;NA;;
AFK;Deutsche Akademie fuer Fußball-Kultur;1;2004;NA;NA;NA;;
MB;Mercedes-Benz;1;1926;NA;NA;NA;;
HMS;Hanns-Martin-Schleyer Stiftung;1;1977;NA;NA;NA;;
SWM;Suedwestmetall;1;1947;NA;NA;NA;;
ELF;11hilft eV;1;2013;NA;NA;NA;;
;;;;;;;;
